ID	GeneName	Transcript#	Strand	Chromosome	Start	End	ExonLength	Source	IsConfounded	EntrezID	GeneType
100009600	Zglp1	1	-	9	21062393	21067093	1010	mm10_refGene	False	100009600	protein-coding
100009609	Vmn2r65	1	-	7	84940169	84964009	2538	mm10_refGene	False	100009609	protein-coding
100009614	Gm10024	1	+	10	77711446	77712009	564	mm10_refGene	True	100009614	protein-coding
100009664	F630206G17Rik	1	+	11	45808083	45842878	2396	mm10_refGene	False	100009664	ncRNA
100012	Oog3	1	-	4	144157556	144162651	1854	mm10_refGene	False	100012	protein-coding
100017	Ldlrap1	1	-	4	134745412	134768004	2671	mm10_refGene	False	100017	protein-coding
100019	Mdn1	1	+	4	32657119	32775217	17959	mm10_refGene	False	100019	protein-coding
100033459	Pydc3	1	+	1	173673680	173698392	2987	mm10_refGene	False	100033459	protein-coding
100034251	Wfdc17	1	+	11	83704056	83706269	469	mm10_refGene	False	100034251	protein-coding
100034361	Mfap1b	1	-	2	121461666	121474023	1887	mm10_refGene	False	100034361	protein-coding
100034363	Tmsb15b2	1	-	X	136954988	136957979	681	mm10_refGene	True	100034363	protein-coding
100034684	BC100530	1	-	16	36359382	36367570	441	mm10_refGene	False	100034684	protein-coding
100034726	Gm15772	1	+	11	68901589	68904534	520	mm10_refGene	True	100034726	pseudo
100034729	Gm15114	1	+	X	148488949	148521446	1974	mm10_refGene	True	100034729	protein-coding
100034739	Gm17762	1	+	2	18027249	18030577	3329	mm10_refGene	True	100034739	ncRNA
100036518	Vmn1r223	1	+	13	23249238	23250323	1086	mm10_refGene	False	100036518	protein-coding
100036520	Gata5os	1	+	2	180332857	180340732	1678	mm10_refGene	True	100036520	ncRNA
100036521	Umad1	2	+	6	8259288	8428765	2250	mm10_refGene	False	100036521	protein-coding
100036523	Gm16982	1	-	7	141610066	141613747	2620	mm10_refGene	True	100036523	ncRNA
100036537	Gm11149	1	+	9	49518288	49568025	1275	mm10_refGene	True	100036537	ncRNA
100036768	Gm11696	1	-	11	109354778	109363654	2765	mm10_refGene	True	100036768	ncRNA
100037258	Dnajc3	1	+	14	118937932	118981702	5190	mm10_refGene	False	100037258	protein-coding
100037260	9430060I03Rik	1	-	1	92933543	92950590	1672	mm10_refGene	True	100037260	ncRNA
100037262	Gm12359	1	-	11	98798309	98810089	1401	mm10_refGene	True	100037262	ncRNA
100037278	Fam129c	1	+	8	71597646	71608149	2482	mm10_refGene	False	100037278	protein-coding
100037282	Rsph3b	1	-	17	6904716	6948356	1614	mm10_refGene	False	100037282	protein-coding
100037283	Rnaset2a	1	-	17	8128598	8147788	962	mm10_refGene	True	100037283	protein-coding
100037396	D030047H15Rik	1	-	7	4126340	4136926	2536	mm10_refGene	True	100037396	ncRNA
100038347	Fam174b	1	+	7	73740307	73776919	2678	mm10_refGene	False	100038347	protein-coding
100038353	Gm10532	1	+	18	75514645	75522806	2301	mm10_refGene	True	100038353	ncRNA
100038356	Gm15612	1	+	6	88842854	88847274	3118	mm10_refGene	True	100038356	ncRNA
100038358	Gm10857	2	+	2	6132869	6140570	2796	mm10_refGene	False	100038358	ncRNA
100038363	F630028O10Rik	1	+	X	96239926	96243642	2777	mm10_refGene	True	100038363	ncRNA
100038371	Zfp389	1	-	13	21504316	21506524	934	mm10_refGene	False	100038371	pseudo
100038374	Gm10714	1	-	2	174125038	174183918	874	mm10_refGene	False	100038374	ncRNA
100038378	Gm10433	1	+	12	100187968	100193538	1982	mm10_refGene	False	100038378	ncRNA
100038392	Gm10785	1	+	16	91688898	91715755	1709	mm10_refGene	True	100038392	ncRNA
100038394	Gm10512	1	+	17	13205042	13206211	1170	mm10_refGene	False	100038394	ncRNA
100038410	Gm10536	1	+	18	56936260	56940518	4259	mm10_refGene	False	100038410	ncRNA
100038417	Spink13	1	-	18	62607540	62741387	795	mm10_refGene	True	100038417	protein-coding
100038439	Gm10556	1	+	18	4812486	4850959	3906	mm10_refGene	False	100038439	ncRNA
100038453	Gm12522	1	-	3	108379277	108383741	2439	mm10_refGene	True	100038453	ncRNA
100038454	Platr8	1	-	2	109902396	109913319	1349	mm10_refGene	False	100038454	ncRNA
100038460	Gm10677	1	-	9	47799160	47818208	2102	mm10_refGene	True	100038460	ncRNA
100038464	Gm15441	1	-	3	96555768	96566801	1673	mm10_refGene	True	100038464	ncRNA
100038468	Gm10684	1	-	9	45107176	45135606	2203	mm10_refGene	True	100038468	ncRNA
100038479	Gm10787	1	+	10	77011995	77022214	1548	mm10_refGene	False	100038479	ncRNA
100038481	Gm10510	1	-	17	15350813	15354461	723	mm10_refGene	False	100038481	ncRNA
100038489	Apela	1	-	8	65028417	65037336	975	mm10_refGene	False	100038489	protein-coding
100038493	Gm13582	1	-	2	60964376	60975151	2655	mm10_refGene	False	100038493	ncRNA
100038494	Gm10782	1	+	13	56362900	56368857	1480	mm10_refGene	False	100038494	ncRNA
100038514	Gm11837	1	+	4	14930641	14953030	896	mm10_refGene	True	100038514	protein-coding
100038516	Gm10640	1	+	7	31162358	31170641	1134	mm10_refGene	False	100038516	ncRNA
100038522	Dnmt3aos	1	-	12	3859293	3862244	1385	mm10_refGene	True	100038522	ncRNA
100038525	Gm10804	2	+	2	93452819	93469874	2923	mm10_refGene	True	100038525	ncRNA
100038526	Gm10560	1	-	4	156021645	156023824	843	mm10_refGene	False	100038526	ncRNA
100038538	Gm10767	1	+	13	66905415	66909166	1652	mm10_refGene	False	100038538	protein-coding
100038545	Gm10745	1	-	3	11823229	11844359	1523	mm10_refGene	False	100038545	ncRNA
100038554	Gm15348	1	-	8	12706944	12719127	3655	mm10_refGene	False	100038554	ncRNA
100038555	Gm10578	1	+	7	137234683	137242609	2876	mm10_refGene	True	100038555	ncRNA
100038556	Gm10445	1	-	6	84412942	84423838	762	mm10_refGene	False	100038556	ncRNA
100038566	Gm10658	1	-	9	57056897	57071966	1133	mm10_refGene	True	100038566	ncRNA
100038570	Gm11744	1	+	11	116657108	116668389	801	mm10_refGene	False	100038570	protein-coding
100038574	Gm10415	1	-	6	126286649	126328686	2825	mm10_refGene	False	100038574	ncRNA
100038575	Gm10635	1	-	9	79444037	79519302	3721	mm10_refGene	False	100038575	ncRNA
100038577	Gm10790	1	+	13	41865915	41913092	1696	mm10_refGene	False	100038577	ncRNA
100038584	Gm14812	1	-	X	99405331	99443797	1794	mm10_refGene	False	100038584	ncRNA
100038591	F420014N23Rik	2	+	10	127195249	127202643	2552	mm10_refGene	True	100038591	ncRNA
100038595	Gm16287	1	-	4	139175407	139180655	2322	mm10_refGene	False	100038595	ncRNA
100038600	Gm11529	1	-	11	96446899	96464547	2063	mm10_refGene	False	100038600	ncRNA
100038602	Gm10865	1	-	15	78994955	79011041	712	mm10_refGene	True	100038602	ncRNA
